"GeneID";"Fold";"p-value";"p-adjusted"
"1";"AT1G01020";0.688;0.382;1
"2";"AT1G01040";0.767;0.0474;1
"3";"AT1G01050";-0.227;0.539;1
"4";"AT1G01060";-0.645;0.0955;1
"5";"AT1G01070";-1.005;0.188;1
"6";"AT1G01080";-1.327;0.469;1
"7";"AT1G01090";0.484;0.0917;1
"8";"AT1G01100";0.727;0.0622;1
"9";"AT1G01110";-1.791;0.299;1
"10";"AT1G01120";2.069;2.7e-10;2.70289274263757e-07
"11";"AT1G01160";0.161;0.752;1
"12";"AT1G01170";-1.319;0.251;1
"13";"AT1G01180";-0.998;0.347;1
"14";"AT1G01190";0.427;1;1
"15";"AT1G01200";0.318;1;1
"16";"AT1G01210";0.59;0.582;1
"17";"AT1G01220";-1.611;0.00207;0.310003778295579
"18";"AT1G01225";0.657;0.752;1
"19";"AT1G01230";0.831;0.225;1
"20";"AT1G01240";0.583;0.42;1
"21";"AT1G01260";0.488;0.272;1
"22";"AT1G01290";-0.835;0.352;1
"23";"AT1G01300";0.273;0.676;1
"24";"AT1G01320";-0.593;0.147;1
"25";"AT1G01340";-0.168;0.968;1
"26";"AT1G01350";1.207;0.114;1
"27";"AT1G01360";0.005;1;1
"28";"AT1G01370";0.715;0.806;1
"29";"AT1G01430";-0.938;0.109;1
"30";"AT1G01440";-1.126;0.0406;1
"31";"AT1G01453";0.476;1;1
"32";"AT1G01470";0.416;0.229;1
"33";"AT1G01480";3.055;0.0435;1
"34";"AT1G01490";-0.277;0.656;1
"35";"AT1G01500";-1.042;0.576;1
"36";"AT1G01510";0.216;0.624;1
"37";"AT1G01520";1.53;0.741;1
"38";"AT1G01540";-0.202;0.669;1
"39";"AT1G01550";-0.182;0.514;1
"40";"AT1G01570";0.976;0.721;1
"41";"AT1G01580";-1.724;0.0145;1
"42";"AT1G01590";0.424;1;1
"43";"AT1G01600";2.84;0.03;1
"44";"AT1G01610";0.907;0.0103;1
"45";"AT1G01620";-1.73;4.38e-21;1.34415988450803e-17
"46";"AT1G01630";0.046;0.953;1
"47";"AT1G01640";-1.632;0.0788;1
"48";"AT1G01650";-0.338;0.367;1
"49";"AT1G01660";-1.411;0.377;1
"50";"AT1G01670";-3.109;0.243;1
"51";"AT1G01690";0.688;0.891;1
"52";"AT1G01695";-1.342;0.804;1
"53";"AT1G01710";0.517;0.58;1
"54";"AT1G01720";-0.392;0.474;1
"55";"AT1G01725";-0.617;0.685;1
"56";"AT1G01730";0.654;0.376;1
"57";"AT1G01740";0.904;0.51;1
"58";"AT1G01760";-1.068;0.295;1
"59";"AT1G01770";-0.001;1;1
"60";"AT1G01780";-1.966;0.368;1
"61";"AT1G01790";0.676;0.327;1
"62";"AT1G01800";-0.556;0.189;1
"63";"AT1G01810";1.009;0.981;1
"64";"AT1G01820";0.106;0.875;1
